BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
41.75	6.256	6.255	0.712	1.548	5.136	5.528	5.162	5.497	0	0	0	0	0	0	0	0	100.0
42.0	6.291	6.294	0.719	1.56	5.165	5.562	5.191	5.534	0	0	0	0	0	0	0	0	100.0
42.25	6.33	6.333	0.719	1.565	5.197	5.596	5.223	5.644	0	0	0	0	0	0	0	0	100.0
42.5	6.369	6.372	0.724	1.578	5.231	5.63	5.257	5.676	0	0	0	0	0	0	0	0	100.0
42.75	6.408	6.409	0.729	1.585	5.265	5.677	5.289	5.715	0	0	0	0	0	0	0	0	100.0
43.0	6.443	6.444	0.735	1.593	5.305	5.721	5.319	5.75	0	0	0	0	0	0	0	0	100.0
43.25	6.481	6.484	0.74	1.604	5.343	5.754	5.349	5.78	0	0	0	0	0	0	0	0	100.0
43.5	6.517	6.518	0.745	1.611	5.378	5.79	5.382	5.815	0	0	0	0	0	0	0	0	100.0
43.75	6.554	6.555	0.751	1.619	5.407	5.821	5.416	5.847	0	0	0	0	0	0	0	0	100.0
44.0	6.593	6.594	0.751	1.629	5.441	5.855	5.445	5.883	0	0	0	0	0	0	0	0	100.0
44.25	6.63	6.634	0.756	1.639	5.474	5.89	5.556	5.916	0	0	0	0	0	0	0	0	100.0
44.5	6.667	6.668	0.761	1.648	5.505	5.921	5.609	5.967	0	0	0	0	0	0	0	0	100.0
44.75	6.706	6.707	0.765	1.658	5.537	5.956	5.639	6.003	0	0	0	0	0	0	0	0	100.0
45.0	6.744	6.743	0.767	1.667	5.569	5.989	5.667	6.038	0	0	0	0	0	0	0	0	100.0
45.25	6.781	6.782	0.775	1.678	5.71	6.023	5.703	6.071	0	0	0	0	0	0	0	0	100.0
45.5	6.82	6.819	0.775	1.687	5.752	6.062	5.736	6.135	0	0	0	0	0	0	0	0	100.0
45.75	6.859	6.86	0.779	1.694	5.787	6.095	5.768	6.177	0	0	0	0	0	0	0	0	100.0
