BC	BV1	BV2	BV3	BV4	BV5	BV6	BV7	BV8	C1	C2	C3	C4	C5	C6	C7	C8	IT
43.5	6.52	6.521	0.743	1.614	5.378	5.791	5.43	5.82	0	0	0	0	0	0	0	0	1000.0
43.75	6.559	6.562	0.748	1.623	5.41	5.826	5.465	5.855	0	0	0	0	0	0	0	0	1000.0
44.0	6.596	6.597	0.753	1.631	5.446	5.861	5.498	5.889	0	0	0	0	0	0	0	0	1000.0
44.25	6.636	6.635	0.754	1.64	5.476	5.892	5.526	5.921	0	0	0	0	0	0	0	0	1000.0
44.5	6.672	6.675	0.761	1.648	5.505	5.926	5.56	5.976	0	0	0	0	0	0	0	0	1000.0
44.75	6.707	6.708	0.764	1.657	5.539	5.955	5.589	6.01	0	0	0	0	0	0	0	0	1000.0
45.0	6.742	6.748	0.768	1.665	5.574	5.992	5.624	6.04	0	0	0	0	0	0	0	0	1000.0
45.25	6.781	6.785	0.773	1.678	5.723	6.031	5.653	6.076	0	0	0	0	0	0	0	0	1000.0
45.5	6.82	6.823	0.777	1.687	5.756	6.062	5.687	6.149	0	0	0	0	0	0	0	0	1000.0
45.75	6.859	6.86	0.782	1.697	5.787	6.097	5.721	6.179	0	0	0	0	0	0	0	0	1000.0
46.0	6.893	6.899	0.784	1.704	5.821	6.131	5.753	6.213	0	0	0	0	0	0	0	0	1000.0
46.25	6.932	6.933	0.789	1.714	5.851	6.164	5.835	6.244	0	0	0	0	0	0	0	0	1000.0
46.5	6.973	6.974	0.795	1.725	5.885	6.2	5.866	6.282	0	0	0	0	0	0	0	0	1000.0
46.75	7.008	7.009	0.797	1.733	5.992	6.233	5.901	6.312	0	0	0	0	0	0	0	0	1000.0
47.0	7.048	7.049	0.802	1.741	6.027	6.267	5.933	6.349	0	0	0	0	0	0	0	0	1000.0
47.25	7.085	7.086	0.808	1.749	6.062	6.3	5.961	6.381	0	0	0	0	0	0	0	0	1000.0
47.5	7.123	7.121	0.811	1.758	6.09	6.333	5.994	6.415	0	0	0	0	0	0	0	0	1000.0
47.75	7.16	7.161	0.817	1.768	6.127	6.4	6.024	6.465	0	0	0	0	0	0	0	0	1000.0
48.0	7.194	7.198	0.822	1.778	6.159	6.436	6.058	6.496	0	0	0	0	0	0	0	0	1000.0
48.25	7.233	7.236	0.826	1.787	6.192	6.464	6.093	6.532	0	0	0	0	0	0	0	0	1000.0
48.5	7.272	7.273	0.826	1.795	6.223	6.503	6.125	6.585	0	0	0	0	0	0	0	0	1000.0
48.75	7.304	7.31	0.834	1.805	6.257	6.534	6.154	6.641	0	0	0	0	0	0	0	0	1000.0
49.0	7.343	7.347	0.839	1.814	6.356	6.568	6.187	6.674	0	0	0	0	0	0	0	0	1000.0
49.25	7.382	7.385	0.84	1.821	6.388	6.599	6.216	6.71	0	0	0	0	0	0	0	0	1000.0
49.5	7.421	7.425	0.846	1.832	6.433	6.636	6.25	6.742	0	0	0	0	0	0	0	0	1000.0
49.75	7.457	7.461	0.848	1.841	6.465	6.669	6.283	6.817	0	0	0	0	0	0	0	0	1000.0
50.0	7.494	7.497	0.855	1.85	6.498	6.702	6.319	6.852	0	0	0	0	0	0	0	0	1000.0
